Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
Office of State Auditor,Internal Services,Feb-2025,386931,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Liquor and Cannabis Board,Software,Feb-2025,385800,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,Other,Nov-2024,385464,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Natural Resources,Internal Services,Nov-2024,383547,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Western Washington University,Software,Dec-2024,382696,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Supt of Public Instruction,Internal Labor,Nov-2024,376697,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Western Washington University,Hardware,Sep-2024,375699,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Natural Resources,Outside Services,Jan-2025,373979,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Employment Security Department,Outside Services,Jul-2024,372315,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Labor and Industries,Software,Sep-2024,370349,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Wash State Health Care Authority,Software,Oct-2024,370321,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Commerce,Internal Labor,Mar-2025,369581,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Revenue,Internal Services,Jul-2024,368742,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Labor and Industries,Software,Dec-2024,368370,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Commerce,Internal Labor,Nov-2024,364421,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Supt of Public Instruction,Internal Labor,Dec-2024,363651,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Commerce,Internal Labor,Jan-2025,363628,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Commerce,Internal Labor,Oct-2024,363628,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Commerce,Internal Services,Jul-2024,360779,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Supt of Public Instruction,External Labor,Nov-2024,360574,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Administrative Office of the Courts,Software,Oct-2024,360233,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Military Department,Hardware,Mar-2025,359991,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Commerce,Internal Services,Jan-2025,359836,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Natural Resources,Internal Services,Mar-2025,359649,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Enterprise Services,Software,Aug-2024,359571,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Revenue,Internal Services,Mar-2025,359204,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Commerce,Internal Labor,Dec-2024,355846,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Western Washington University,Software,Oct-2024,355195,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Commerce,Internal Labor,Sep-2024,354836,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Enterprise Services,Software,Sep-2024,354670,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Commerce,Internal Labor,Aug-2024,353510,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
"Department of Children, Youth, and Famil",Internal Services,Dec-2024,353406,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Commerce,Internal Labor,Jul-2024,353089,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
"Department of Children, Youth, and Famil",External Labor,Oct-2024,353016,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Community/Technical College System,Telecom,Mar-2025,352850,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,Telecom,Sep-2024,351466,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Agriculture,Internal Services,Feb-2025,350354,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Supt of Public Instruction,Internal Labor,Oct-2024,350014,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Corrections,Outside Services,Jul-2024,349635,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Natural Resources,Software,Dec-2024,348181,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Liquor and Cannabis Board,External Labor,Feb-2025,347967,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Commerce,Internal Labor,Feb-2025,347720,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Revenue,Outside Services,Aug-2024,346727,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Patrol,Internal Services,Jan-2025,345576,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Patrol,Internal Services,Nov-2024,345277,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Patrol,Internal Services,Sep-2024,345195,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Patrol,Internal Services,Mar-2025,345122,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Natural Resources,Outside Services,Mar-2025,343785,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Western Washington University,Hardware,Jul-2024,342316,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Employment Security Department,Other,Oct-2024,341855,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Liquor and Cannabis Board,External Labor,Oct-2024,338066,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,External Labor,Jan-2025,337969,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Hardware,Sep-2024,337174,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Telecom,Jan-2025,336250,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
The Evergreen State College,Software,Oct-2024,335347,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Outside Services,Dec-2024,334516,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Eastern Washington University,External Labor,Sep-2024,333764,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Supt of Public Instruction,Internal Labor,Jan-2025,333541,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Enterprise Services,Software,Dec-2024,331805,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Transportation,Hardware,Feb-2025,330844,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Fish and Wildlife,Telecom,Jul-2024,329153,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Eastern Washington University,External Labor,Jan-2025,329145,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
The Evergreen State College,Software,Aug-2024,328114,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Labor and Industries,Hardware,Jan-2025,327998,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Hardware,Mar-2025,327439,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Agriculture,Internal Labor,Jul-2024,327392,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Employment Security Department,Telecom,Oct-2024,326329,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Natural Resources,Hardware,Nov-2024,326074,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Corrections,Outside Services,Feb-2025,325199,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Supt of Public Instruction,Internal Labor,Mar-2025,324031,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Financial Management,Other,Sep-2024,323619,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Patrol,Outside Services,Jan-2025,323164,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Supt of Public Instruction,Internal Labor,Feb-2025,323103,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Agriculture,Internal Labor,Feb-2025,322928,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Labor and Industries,Hardware,Nov-2024,322862,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,Software,Jan-2025,322593,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
"Department of Children, Youth, and Famil",Hardware,Aug-2024,321846,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Administrative Office of the Courts,Internal Services,Dec-2024,320985,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Hardware,Sep-2024,318489,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,Outside Services,Mar-2025,318250,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of the Secretary of State,Software,Mar-2025,317910,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Investment Board,Outside Services,Sep-2024,317524,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,Hardware,Jan-2025,316357,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Natural Resources,Outside Services,Nov-2024,316302,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Agriculture,Internal Labor,Mar-2025,315686,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Enterprise Services,Software,Mar-2025,314368,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Patrol,Telecom,Mar-2025,314206,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Fish and Wildlife,Hardware,Dec-2024,314066,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Western Washington University,External Labor,Jul-2024,313147,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Licensing,Software,Dec-2024,312003,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Licensing,Hardware,Feb-2025,311986,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Natural Resources,Internal Services,Dec-2024,311659,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Enterprise Services,Software,Jan-2025,311021,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Administrative Office of the Courts,Software,Feb-2025,308671,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Agriculture,Internal Labor,Jan-2025,308592,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
The Evergreen State College,Software,Dec-2024,307752,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Hardware,Oct-2024,306642,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Ecology,Internal Services,Oct-2024,305168,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Enterprise Services,Software,Feb-2025,302506,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Agriculture,Internal Labor,Dec-2024,302409,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Ecology,Internal Services,Nov-2024,302295,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Administrative Office of the Courts,Software,Nov-2024,302067,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Natural Resources,Internal Services,Sep-2024,301862,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Supt of Public Instruction,Outside Services,Mar-2025,301731,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Supt of Public Instruction,Internal Services,Jan-2025,301674,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Software,Jan-2025,301363,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Enterprise Services,Hardware,Mar-2025,300512,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Bd for Vol Firefighter and Res Off,Outside Services,Nov-2024,300212,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,Internal Services,Aug-2024,300111,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Ecology,Internal Services,Sep-2024,300084,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Ecology,Internal Services,Feb-2025,299894,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Internal Services,Jan-2025,299848,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Natural Resources,Internal Services,Aug-2024,299173,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Wash State Health Care Authority,Software,Dec-2024,298449,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Revenue,Internal Services,Sep-2024,298445,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,Software,Jul-2024,298176,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Natural Resources,Hardware,Dec-2024,297736,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Enterprise Services,Software,Nov-2024,297724,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,Internal Services,Dec-2024,297411,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Western Washington University,Hardware,Mar-2025,297243,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Financial Management,Telecom,Jan-2025,296868,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Agriculture,Internal Labor,Aug-2024,295490,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Natural Resources,Outside Services,Dec-2024,295100,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Licensing,Hardware,Jul-2024,294600,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Financial Management,Software,Mar-2025,294431,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Agriculture,Internal Labor,Oct-2024,293232,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Agriculture,Internal Labor,Nov-2024,292850,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Eastern Washington University,External Labor,Oct-2024,292120,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,External Labor,Aug-2024,291351,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,External Labor,Mar-2025,291137,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Agriculture,Internal Labor,Sep-2024,290291,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Community/Technical College System,Other,Oct-2024,289964,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Hardware,Sep-2024,287786,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,Internal Services,Feb-2025,287739,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Patrol,Hardware,Dec-2024,287523,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Transportation,External Labor,Mar-2025,287257,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Fish and Wildlife,Outside Services,Dec-2024,287013,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Enterprise Services,Internal Services,Jan-2025,286075,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Enterprise Services,Internal Services,Oct-2024,286067,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Other,Nov-2024,285853,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Patrol,External Labor,Jan-2025,285679,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Attorney General,Software,Feb-2025,285541,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Enterprise Services,Internal Services,Jul-2024,284982,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
"Department of Children, Youth, and Famil",Software,Aug-2024,284823,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Ecology,Software,Dec-2024,284527,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Employment Security Department,Telecom,Feb-2025,284226,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Retirement Systems,Software,Aug-2024,283852,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,Other,Jul-2024,282255,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of State Auditor,Internal Services,Oct-2024,281839,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State Auditor,Internal Services,Jul-2024,281791,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Supt of Public Instruction,Outside Services,Feb-2025,281757,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Revenue,Internal Services,Nov-2024,280611,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Natural Resources,Hardware,Aug-2024,278964,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
The Evergreen State College,Software,Sep-2024,275546,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Patrol,External Labor,Jul-2024,275449,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Liquor and Cannabis Board,Outside Services,Sep-2024,274610,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,Internal Services,Dec-2024,274382,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Employment Security Department,Software,Nov-2024,273456,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Attorney General,Telecom,Feb-2025,273104,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,External Labor,Dec-2024,272835,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Telecom,Sep-2024,270730,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Western Washington University,Internal Services,Oct-2024,270500,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State Auditor,Internal Labor,Mar-2025,270440,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Investment Board,Outside Services,Nov-2024,269707,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Fish and Wildlife,Hardware,Aug-2024,269247,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Health,Hardware,Jul-2024,268474,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
State Parks and Recreation Comm,Hardware,Feb-2025,267893,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Agriculture,Outside Services,Oct-2024,267871,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Workforce Train & Educ Coord Board,External Labor,Dec-2024,267305,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of the Secretary of State,Outside Services,Sep-2024,266073,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Bd for Vol Firefighter and Res Off,Outside Services,Sep-2024,265986,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Transportation,Telecom,Feb-2025,265837,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Hardware,Oct-2024,265684,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Health,Hardware,Sep-2024,265428,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Telecom,Feb-2025,264453,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Transportation,Other,Jan-2025,263835,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Patrol,Hardware,Feb-2025,263632,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Natural Resources,Internal Services,Feb-2025,262648,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of the Secretary of State,Outside Services,Dec-2024,262564,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Natural Resources,Outside Services,Feb-2025,262256,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Fish and Wildlife,Telecom,Dec-2024,262009,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Insurance Commissioner,Internal Labor,Jan-2025,261885,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Wash State Health Care Authority,Software,Nov-2024,261797,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Insurance Commissioner,Internal Labor,Mar-2025,261062,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Insurance Commissioner,Internal Labor,Feb-2025,260832,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Insurance Commissioner,Internal Labor,Nov-2024,260803,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Insurance Commissioner,Internal Labor,Dec-2024,260798,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",Telecom,Dec-2024,260263,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Insurance Commissioner,Internal Labor,Oct-2024,260251,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Commerce,External Labor,Mar-2025,260134,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Employment Security Department,Other,Mar-2025,259980,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Insurance Commissioner,Internal Labor,Sep-2024,259976,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Insurance Commissioner,Internal Labor,Aug-2024,259623,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
